,Amount.Requested,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,Home.Ownership_OWN,Home.Ownership_RENT,Employment.Length.NaN
0,25000.0,18.49,1.0,1308,27.56,41,8606.56,722,11.0,15210.0,3.0,5.0,0,0,0
1,19750.0,17.27,1.0,1308,13.39,31,6737.5,712,14.0,19070.0,3.0,4.0,0,0,0
2,2100.0,14.33,0.0,101,3.5,18,1000.0,692,13.0,893.0,1.0,0.0,1,0,0
3,28000.0,16.29,0.0,444,19.62,30,7083.33,712,12.0,38194.0,1.0,10.0,0,0,0
4,24250.0,12.23,1.0,444,23.79,32,5833.33,732,6.0,31061.0,2.0,10.0,0,0,0
5,5400.0,8.9,0.0,87,6.27,32,3000.0,787,2.0,90.0,2.0,10.0,0,1,1
6,16000.0,22.47,1.0,444,11.27,5,4791.67,667,5.0,8474.0,0.0,2.0,0,1,0
7,6400.0,7.51,0.0,101,9.58,14,6400.0,737,11.0,12306.0,1.0,0.0,0,1,0
8,24000.0,12.99,1.0,152,15.54,26,8333.33,742,24.0,56984.0,0.0,10.0,0,0,1
9,8000.0,7.62,0.0,200,0.0,26,3500.0,767,7.0,0.0,1.0,10.0,0,0,1
10,9000.0,10.16,0.0,1308,13.76,5,5166.67,712,10.0,6490.0,0.0,10.0,0,1,0
11,13000.0,9.99,1.0,152,8.77,32,10500.0,802,8.0,6810.0,0.0,10.0,0,0,0
12,10000.0,14.22,0.0,1308,12.24,28,2541.67,682,4.0,13667.0,0.0,8.0,0,1,0
13,3600.0,13.67,0.0,200,16.41,5,5113.0,692,10.0,715.0,1.0,10.0,0,0,1
14,7350.0,10.74,1.0,1308,29.82,43,5000.0,747,15.0,15093.0,1.0,4.0,0,0,0
15,17000.0,11.99,1.0,1308,12.69,26,4666.67,747,17.0,11677.0,2.0,10.0,0,0,0
16,18825.0,21.0,1.0,1308,19.22,7,4583.33,682,8.0,17292.0,2.0,10.0,0,1,0
17,4200.0,17.27,0.0,444,14.78,1,2083.33,662,7.0,3690.0,0.0,0.0,0,1,0
18,5000.0,11.54,0.0,200,10.36,31,3416.67,672,17.0,15301.0,7.0,1.0,0,1,0
19,3700.0,7.88,0.0,200,10.17,6,4985.0,722,6.0,11586.0,4.0,10.0,0,0,1
20,6625.0,17.77,0.0,1308,33.43,14,2916.67,667,13.0,11369.0,0.0,1.0,0,1,0
21,15000.0,12.12,0.0,444,19.16,28,5000.0,707,18.0,13830.0,0.0,10.0,0,1,0
22,29175.0,21.0,1.0,444,8.83,19,12500.0,697,9.0,15308.0,2.0,4.0,0,1,0
23,6000.0,11.89,0.0,1308,9.77,5,4166.67,697,13.0,15377.0,1.0,10.0,0,1,0
24,10000.0,13.47,0.0,50,5.59,39,4583.0,692,6.0,2432.0,1.0,4.0,0,1,0
